substance_name,small_molecule_retrieved,inorganic_retrieved,polymer_retrieved
oxygen,1,0,0
argon,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
argon,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
argon,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
polyhexylthiophene,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
"1,2-diphenylethylenediamine",1,0,0
cellulose,1,0,0
trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),1,0,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
chlorpyrifos,1,0,0
titanium carbide,1,1,0
water,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ethanol,1,0,0
indium oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
na+,1,0,0
silicon,1,1,0
water,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
argon,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
argon,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
argon,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
argon,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
argon,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
putrescine,1,0,0
"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2:5,2:5,2-quaterthiophene]",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
argon,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
argon,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
argon,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
argon,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
argon,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
sulfur dioxide,1,0,0
"2,3,6,7,10,11-hexahydroxytriphenylene",1,0,0
ni2+,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
mercury(ii) nitrate,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrene sulfonate,0,0,1
graphene,1,1,0
phenol,1,0,0
ethylene oxide,1,0,0
benzoic acid,1,0,0
water,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
argon,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
argon,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
argon,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
argon,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
argon,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
nitrogen,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
nitrogen,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
nitrogen,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
nitrogen,1,0,0
nitrogen monoxide,1,0,0
platinum,1,1,0
nitrogen,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
phenytoin,1,0,0
zinc oxide,1,1,0
sodium dihydrogen phosphate,1,0,0
disodium hydrogen phosphate,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
au,1,1,0
water,1,0,0
h+,1,0,0
gold,1,1,0
water,1,0,0
h+,1,0,0
gold,1,1,0
water,1,0,0
h+,1,0,0
gold,1,1,0
water,1,0,0
h+,1,0,0
gold,1,1,0
water,1,0,0
h+,1,0,0
aluminum oxide,1,1,0
water,1,0,0
h+,1,0,0
aluminum oxide,1,1,0
water,1,0,0
h+,1,0,0
aluminum oxide,1,1,0
water,1,0,0
h+,1,0,0
aluminum oxide,1,1,0
water,1,0,0
h+,1,0,0
aluminum oxide,1,1,0
water,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
gold,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
trinitrotoluene,1,0,0
3-aminopropyltriethoxysilane,1,0,0
water,1,0,0
h+,1,0,0
fluorine,1,0,0
tin(iv) oxide,1,1,0
water,1,0,0
h+,1,0,0
fluorine,1,0,0
tin(iv) oxide,1,1,0
water,1,0,0
h+,1,0,0
fluorine,1,0,0
tin(iv) oxide,1,1,0
water,1,0,0
h+,1,0,0
fluorine,1,0,0
tin(iv) oxide,1,1,0
water,1,0,0
h+,1,0,0
fluorine,1,0,0
tin(iv) oxide,1,1,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
k+,1,0,0
valinomycin,1,0,0
potassium chloride,1,0,0
water,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
molybdenum disulfide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
h+,1,0,0
nafion,0,0,1
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
nafion,0,0,1
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
nafion,0,0,1
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
nafion,0,0,1
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
nafion,0,0,1
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
indium oxide,1,1,0
water,1,0,0
h+,1,0,0
indium oxide,1,1,0
water,1,0,0
h+,1,0,0
indium oxide,1,1,0
water,1,0,0
h+,1,0,0
indium oxide,1,1,0
water,1,0,0
h+,1,0,0
indium oxide,1,1,0
water,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
pentacene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
h+,1,0,0
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
vanadium pentoxide,1,1,0
water,1,0,0
h+,1,0,0
vanadium pentoxide,1,1,0
water,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(vinyl alcohol),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
h+,1,0,0
graphene,1,1,0
sodium chloride,1,0,0
magnesium sulfate,1,0,0
water,1,0,0
h+,1,0,0
graphene,1,1,0
sodium chloride,1,0,0
magnesium sulfate,1,0,0
water,1,0,0
h+,1,0,0
graphene,1,1,0
sodium chloride,1,0,0
magnesium sulfate,1,0,0
water,1,0,0
h+,1,0,0
graphene,1,1,0
sodium chloride,1,0,0
magnesium sulfate,1,0,0
water,1,0,0
h+,1,0,0
graphene,1,1,0
sodium chloride,1,0,0
magnesium sulfate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
glucose,1,0,0
silver,1,1,0
sodium chloride,1,0,0
potassium chloride,1,0,0
disodium phosphate,1,0,0
monopotassium phosphate,1,0,0
water,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
benzothienobenzothiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
"poly(3,4-ethylenedioxythiophene)",0,0,1
polystyrenesulfonic acid,0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
alpha-sexithiophene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
